margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.22,0.8,300,100,TRUE,300,-12540,215432.88,6500,13515.8,220956.8
0.22,0.8,300,100,TRUE,300,-15204,206061.96,6700,16619.94,211345.6
0.23,0.8,300,100,TRUE,300,-18281,205171.89,6600,16886.92,213165.6
0.23,0.8,300,100,TRUE,300,-17374,215392.1,7100,16082.6,223784
0.23,0.8,300,100,TRUE,300,-21497,201195.61,6200,19858.22,209034.4
0.23,0.8,300,100,TRUE,300,-19953,219773.4,7000,18390.38,228336
0.23,0.8,300,100,TRUE,300,-15992,214829.23,7500,15121.78,223199.2
0.23,0.8,300,100,TRUE,300,-20714,204426.53,6400,19148.91,212391.2
0.23,0.8,300,100,TRUE,300,-17681,200567.29,6600,16467.17,208381.6
0.23,0.8,300,100,TRUE,300,-14555,192319.05,6600,13662.11,199812
0.23,0.8,300,100,TRUE,300,-14884,206909.01,6900,13722.39,214970.4
0.23,0.8,300,100,TRUE,300,-17581,219513.91,7700,16728.65,228066.4
0.24,0.8,300,100,TRUE,300,-21250,211876.6,7500,17598.68,223028
0.24,0.8,300,100,TRUE,300,-18918,208920.96,7300,15221.85,219916.8
0.24,0.8,300,100,TRUE,300,-22108,219865.72,7300,17836.51,231437.6
0.24,0.8,300,100,TRUE,300,-19208,207399.44,6600,14892.24,218315.2
0.24,0.8,300,100,TRUE,300,-21093,213446.76,7200,17058.65,224680.8
0.24,0.8,300,100,TRUE,300,-22401,216316.52,7700,18716.35,227701.6
0.24,0.8,300,100,TRUE,300,-18424,204357.92,7700,15368.11,215113.6
0.24,0.8,300,100,TRUE,300,-20549,206742.04,6500,16167.7,217623.2
0.24,0.8,300,100,TRUE,300,-20998,204797.96,6800,17018.9,215576.8
0.24,0.8,300,100,TRUE,300,-18686,207211.72,7000,14780.45,218117.6
0.25,0.8,300,100,TRUE,300,-25491,205037.25,7000,18821.36,218706.4
0.25,0.8,300,100,TRUE,300,-20636,211601.25,7700,14229.28,225708
0.25,0.8,300,100,TRUE,300,-29204,215464.5,7400,22240.05,229828.8
0.25,0.8,300,100,TRUE,300,-24343,223110,7900,17368.9,237984
0.25,0.8,300,100,TRUE,300,-22606,206820,7200,16017.9,220608
0.25,0.8,300,100,TRUE,300,-24519,219981.75,7600,17453.43,234647.2
0.25,0.8,300,100,TRUE,300,-22363,197830.5,7300,16474.42,211019.2
0.25,0.8,300,100,TRUE,300,-22913,217179,7800,16234.08,231657.6
0.25,0.8,300,100,TRUE,300,-23509,206121.75,7600,17367.23,219863.2
0.26,0.8,300,100,TRUE,300,-28104,211110.9,7700,18687.09,228228
0.25,0.8,300,100,TRUE,300,-24910,211473.75,7800,18611.93,225572
0.26,0.8,300,100,TRUE,300,-28208,217927.04,7900,18438.73,235596.8
0.26,0.8,300,100,TRUE,300,-25273,211771.72,7900,16001.88,228942.4
0.26,0.8,300,100,TRUE,300,-30667,222447.7,7900,20530.61,240484
0.26,0.8,300,100,TRUE,300,-25156,224062.38,8500,15488.38,242229.6
0.26,0.8,300,100,TRUE,300,-28111,198431.74,7300,19322.36,214520.8
0.26,0.8,300,100,TRUE,300,-30279,213245.06,7800,20788.72,230535.2
0.26,0.8,300,100,TRUE,300,-28845,212287.5,8200,19832.46,229500
0.26,0.8,300,100,TRUE,300,-27181,187823.1,7300,19251.91,203052
0.26,0.8,300,100,TRUE,300,-25512,196290.18,7900,17497.05,212205.6
0.27,0.8,300,100,TRUE,300,-28664,206687.09,7900,16744.46,226506.4
0.27,0.8,300,100,TRUE,300,-26571,208246.37,8500,15101.82,228215.2
0.27,0.8,300,100,TRUE,300,-32939,220353.42,8600,20409.22,241483.2
0.27,0.8,300,100,TRUE,300,-29159,204622.65,7900,17437.2,224244
0.27,0.8,300,100,TRUE,300,-29843,205212.49,8500,18664.76,224890.4
0.27,0.8,300,100,TRUE,300,-31324,202714.43,7700,19585.3,222152.8
0.27,0.8,300,100,TRUE,300,-33022,202558.94,7600,21198.98,221982.4
0.27,0.8,300,100,TRUE,300,-31869,210330.52,8200,19900.32,230499.2
0.27,0.8,300,100,TRUE,300,-29128,207227.29,8100,17357.05,227098.4
0.27,0.8,300,100,TRUE,300,-30009,202123.13,8200,18827.49,221504.8
0.28,0.8,300,100,TRUE,300,-34198,208410.48,8700,19741.17,231567.2
0.28,0.8,300,100,TRUE,300,-31976,204125.04,7800,17095.34,226805.6
0.28,0.8,300,100,TRUE,300,-32625,202736.16,7900,17998.96,225262.4
0.28,0.8,300,100,TRUE,300,-32175,199807.92,7800,17774.21,222008.8
0.28,0.8,300,100,TRUE,300,-29714,199223.28,8100,15677.86,221359.2
0.28,0.8,300,100,TRUE,300,-32928,208108.8,8200,18004.53,231232
0.28,0.8,300,100,TRUE,300,-30455,208499.04,8700,15987.94,231665.6
0.28,0.8,300,100,TRUE,300,-30052,203428.08,8500,15948.52,226031.2
0.28,0.8,300,100,TRUE,300,-33612,204263.28,8100,19016.27,226959.2
0.28,0.8,300,100,TRUE,300,-32190,209734.56,7900,16786.29,233038.4
0.29,0.8,300,100,TRUE,300,-34344,208480.85,8500,16417.26,234908
0.29,0.8,300,100,TRUE,300,-37749,208154.25,8000,19362.78,234540
0.29,0.8,300,100,TRUE,300,-31880,198749.59,8400,15086.71,223943.2
0.29,0.8,300,100,TRUE,300,-36400,200711.32,8300,19257.44,226153.6
0.29,0.8,300,100,TRUE,300,-31561,197511.35,8300,14824.01,222548
0.29,0.8,300,100,TRUE,300,-37050,203445.53,8600,19861.55,229234.4
0.29,0.8,300,100,TRUE,300,-33959,202033.34,8400,16748.79,227643.2
0.29,0.8,300,100,TRUE,300,-36345,208549.01,9000,18909.63,234984.8
0.29,0.8,300,100,TRUE,300,-37151,208967.91,8000,18661.7,235456.8
0.29,0.8,300,100,TRUE,300,-36989,202107.89,8000,19370.11,227727.2
0.3,0.8,300,100,TRUE,300,-38972,203607.6,8300,18185.13,232694.4
0.3,0.8,300,100,TRUE,300,-35361,199105.9,8800,15717.04,227549.6
0.3,0.8,300,100,TRUE,300,-33903,197316,9500,15215.2,225504
0.3,0.8,300,100,TRUE,300,-36712,201471.2,8500,16430.67,230252.8
0.3,0.8,300,100,TRUE,300,-41584,210104.3,8300,19869.52,240119.2
0.3,0.8,300,100,TRUE,300,-36839,202059.2,8900,16873.27,230924.8
0.3,0.8,300,100,TRUE,300,-38343,194831,8800,19310.11,222664
0.3,0.8,300,100,TRUE,300,-40855,205555.7,8200,19689.64,234920.8
0.3,0.8,300,100,TRUE,300,-40657,205144.1,8800,20150.55,234450.4
0.3,0.8,300,100,TRUE,300,-37983,199003,8700,18254.39,227432
0.31,0.8,300,100,TRUE,300,-42103,203671.44,8700,18333.16,236140.8
0.31,0.8,300,100,TRUE,300,-39792,200517.45,8500,16325.67,232484
0.31,0.8,300,100,TRUE,300,-38921,198754.5,8400,15635.74,230440
0.31,0.8,300,100,TRUE,300,-44521,212515.17,9000,19641.95,246394.4
0.31,0.8,300,100,TRUE,300,-41012,197902.35,8600,18062.62,229452
0.31,0.8,300,100,TRUE,300,-45288,205012.11,8900,21504.69,237695.2
0.31,0.8,300,100,TRUE,300,-37091,202758.57,9600,14367.15,235082.4
0.31,0.8,300,100,TRUE,300,-42871,200919.03,8600,19440.62,232949.6
0.31,0.8,300,100,TRUE,300,-38783,191372.19,8100,16374.35,221880.8
0.31,0.8,300,100,TRUE,300,-36284,192425.82,9200,14807.08,223102.4
0.32,0.8,300,100,TRUE,300,-43781,195680.2,8800,18049.31,230212
0.32,0.8,300,100,TRUE,300,-41626,193292.04,8800,16315.17,227402.4
0.32,0.8,300,100,TRUE,300,-46141,203301.64,8800,19063.95,239178.4
0.32,0.8,300,100,TRUE,300,-45715,194520.8,8600,19987.34,228848
0.32,0.8,300,100,TRUE,300,-42103,192188.4,8600,16787.23,226104
0.32,0.8,300,100,TRUE,300,-42421,198882.32,9200,16523.77,233979.2
0.32,0.8,300,100,TRUE,300,-40778,189450.72,9000,16345.36,222883.2
0.32,0.8,300,100,TRUE,300,-42731,195595.2,9400,17613.86,230112
0.32,0.8,300,100,TRUE,300,-44040,205010.48,9700,17561.82,241188.8
