margin,manufacturing-cost,number-of-friendships,monthly-fee,random-join?,number-of-persons,network-profit,network-sale-revenue,network-fee-revenue,network-sponsor-cost,network-manufacturing-cost
0.23,0.2,300,100,TRUE,300,140120,204625.96,6400,17755.93,53149.6
0.23,0.2,300,100,TRUE,300,154493,220551.87,7400,16172.61,57286.2
0.23,0.2,300,100,TRUE,300,141977,201529.02,7000,14207.14,52345.2
0.23,0.2,300,100,TRUE,300,146837,212135,7500,17698.24,55100
0.24,0.2,300,100,TRUE,300,144140,204506.12,7500,14048.25,53817.4
0.24,0.2,300,100,TRUE,300,145459,206602.2,7900,14674.67,54369
0.24,0.2,300,100,TRUE,300,144200,208088,7100,16228.43,54760
0.24,0.2,300,100,TRUE,300,151299,212986.2,7600,13238.13,56049
0.24,0.2,300,100,TRUE,300,148145,218319.88,7400,20122.44,57452.6
0.24,0.2,300,100,TRUE,300,143083,206889.48,6800,16161.72,54444.6
0.24,0.2,300,100,TRUE,300,145098,212971.76,7200,19028.61,56045.2
0.24,0.2,300,100,TRUE,300,142424,206344.56,7400,17019.34,54301.2
0.24,0.2,300,100,TRUE,300,141838,204025.8,7300,15796.68,53691
0.25,0.2,300,100,TRUE,300,128058,186497.25,7100,15806.47,49732.6
0.24,0.2,300,100,TRUE,300,144475,206354.44,6700,14276.12,54303.8
0.25,0.2,300,100,TRUE,300,146401,213927,7600,18078.78,57047.2
0.25,0.2,300,100,TRUE,300,136777,202350.75,7200,18813.25,53960.2
0.25,0.2,300,100,TRUE,300,137406,195649.5,7100,13170.44,52173.2
0.25,0.2,300,100,TRUE,300,148525,214600.5,7800,16648.41,57226.8
0.25,0.2,300,100,TRUE,300,151594,218977.5,7400,16389.7,58394
0.25,0.2,300,100,TRUE,300,145550,209994,8000,16445.46,55998.4
0.25,0.2,300,100,TRUE,300,147526,213983.25,7100,16495.02,57062.2
0.25,0.2,300,100,TRUE,300,147223,217685.25,8000,20413.07,58049.4
0.25,0.2,300,100,TRUE,300,135921,196205.25,7800,15762.9,52321.4
0.26,0.2,300,100,TRUE,300,138062,208685.92,7100,21322.73,56401.6
0.26,0.2,300,100,TRUE,300,139403,207319.14,7900,19784.18,56032.2
0.26,0.2,300,100,TRUE,300,151272,218341.44,8400,16457.79,59011.2
0.26,0.2,300,100,TRUE,300,134211,197976.64,8100,18358.67,53507.2
0.26,0.2,300,100,TRUE,300,147328,213681.66,8000,16602.26,57751.8
0.26,0.2,300,100,TRUE,300,141588,207212.58,8000,17621.34,56003.4
0.26,0.2,300,100,TRUE,300,138355,199838.48,7500,14972.63,54010.4
0.26,0.2,300,100,TRUE,300,140533,209289.02,8100,20291.27,56564.6
0.26,0.2,300,100,TRUE,300,140658,202087.34,8100,14911.06,54618.2
0.26,0.2,300,100,TRUE,300,143855,212897.26,7900,19402.71,57539.8
0.27,0.2,300,100,TRUE,300,141247,206477.58,8100,16761.7,56569.2
0.27,0.2,300,100,TRUE,300,143644,215786.54,8500,21523.41,59119.6
0.27,0.2,300,100,TRUE,300,138132,202323.88,7900,16660.73,55431.2
0.27,0.2,300,100,TRUE,300,132998,198903.1,7800,19211.58,54494
0.27,0.2,300,100,TRUE,300,136696,203318.14,7500,18418.36,55703.6
0.27,0.2,300,100,TRUE,300,138251,205105.18,7400,18061.07,56193.2
0.27,0.2,300,100,TRUE,300,138139,203369.97,8200,17713.62,55717.8
0.27,0.2,300,100,TRUE,300,140607,209773.53,8000,19693.98,57472.2
0.27,0.2,300,100,TRUE,300,128255,190615.41,7400,17537.51,52223.4
0.27,0.2,300,100,TRUE,300,130655,195207.11,7500,18570.47,53481.4
0.28,0.2,300,100,TRUE,300,138145,200748.24,8300,15139.68,55763.4
0.28,0.2,300,100,TRUE,300,141297,208879.92,8300,17860.84,58022.2
0.28,0.2,300,100,TRUE,300,142402,213527.52,8100,19912.53,59313.2
0.28,0.2,300,100,TRUE,300,135180,200041.2,7700,16994.68,55567
0.28,0.2,300,100,TRUE,300,142088,206959.68,8800,16182.4,57488.8
0.28,0.2,300,100,TRUE,300,142895,207095.76,8500,15173.95,57526.6
0.28,0.2,300,100,TRUE,300,132888,199496.88,7800,18992.98,55415.8
0.28,0.2,300,100,TRUE,300,133671,197241.84,7300,16081.93,54789.4
0.28,0.2,300,100,TRUE,300,142463,212290.56,7900,18758.42,58969.6
0.29,0.2,300,100,TRUE,300,148975,220138.34,8400,17552.8,62010.8
0.28,0.2,300,100,TRUE,300,136576,203094.72,8000,18103.07,56415.2
0.29,0.2,300,100,TRUE,300,134683,197662.58,8600,15899.56,55679.6
0.29,0.2,300,100,TRUE,300,135815,199772.7,8900,16583.23,56274
0.29,0.2,300,100,TRUE,300,128763,190033.63,8100,15839.93,53530.6
0.29,0.2,300,100,TRUE,300,135057,197603.65,8400,15283.42,55663
0.29,0.2,300,100,TRUE,300,132999,203493.1,8500,21671.94,57322
0.29,0.2,300,100,TRUE,300,144394,217815.22,8200,20265.24,61356.4
0.29,0.2,300,100,TRUE,300,135672,204411.13,9000,20158.99,57580.6
0.29,0.2,300,100,TRUE,300,141332,208054.85,8900,17015.92,58607
0.29,0.2,300,100,TRUE,300,140032,203687.64,8400,14679.06,57376.8
0.3,0.2,300,100,TRUE,300,147024,215911.5,9400,16598.91,61689
0.3,0.2,300,100,TRUE,300,134903,202488.3,8500,18231.57,57853.8
0.3,0.2,300,100,TRUE,300,132462,200601.8,9400,20224.54,57314.8
0.3,0.2,300,100,TRUE,300,131887,202913.9,9100,22151.47,57975.4
0.3,0.2,300,100,TRUE,300,131434,198294.6,8400,18604.63,56655.6
0.3,0.2,300,100,TRUE,300,137034,204698.9,8800,17979.67,58485.4
0.3,0.2,300,100,TRUE,300,131459,196775.6,8200,17294.74,56221.6
0.3,0.2,300,100,TRUE,300,126934,191132.2,8000,17588.95,54609.2
0.3,0.2,300,100,TRUE,300,144035,215755.4,8800,18875.71,61644.4
0.3,0.2,300,100,TRUE,300,131362,195091.4,8500,16488.82,55740.4
0.31,0.2,300,100,TRUE,300,131820,200286.3,8900,19312.46,58054
0.31,0.2,300,100,TRUE,300,133729,202127.91,8800,18610.95,58587.8
0.31,0.2,300,100,TRUE,300,139313,206114.73,9100,16158.32,59743.4
0.31,0.2,300,100,TRUE,300,135568,205796.64,9600,20177.06,59651.2
0.31,0.2,300,100,TRUE,300,125085,190756.02,8600,18979.21,55291.6
0.31,0.2,300,100,TRUE,300,133932,197479.38,9000,15306.56,57240.4
0.31,0.2,300,100,TRUE,300,134213,206016.75,8700,20788.83,59715
0.31,0.2,300,100,TRUE,300,130688,201847.08,8900,21552.7,58506.4
0.31,0.2,300,100,TRUE,300,136068,209177.64,9400,21878.88,60631.2
0.31,0.2,300,100,TRUE,300,140017,208276.5,9200,17089.34,60370
0.32,0.2,300,100,TRUE,300,129329,195961.72,8900,17896.44,57635.8
0.32,0.2,300,100,TRUE,300,121862,190637.32,8300,21005.84,56069.8
0.32,0.2,300,100,TRUE,300,125563,191287.4,9800,19263,56261
0.32,0.2,300,100,TRUE,300,133732,200545.6,9600,17429.21,58984
0.32,0.2,300,100,TRUE,300,128926,192977.88,9300,16594.07,56758.2
0.32,0.2,300,100,TRUE,300,133414,198806.84,9000,15920.17,58472.6
0.32,0.2,300,100,TRUE,300,140052,214002.8,9500,20508.81,62942
0.32,0.2,300,100,TRUE,300,133335,201835.56,8600,17736.74,59363.4
0.32,0.2,300,100,TRUE,300,132920,195508.16,9400,14486.18,57502.4
0.32,0.2,300,100,TRUE,300,135717,203814.36,8900,17051.91,59945.4
0.33,0.2,300,100,TRUE,300,124011,189177.85,9000,17695.36,56471
0.33,0.2,300,100,TRUE,300,124071,198572.59,8700,23926.49,59275.4
0.33,0.2,300,100,TRUE,300,127133,195957.58,9500,19830.22,58494.8
0.33,0.2,300,100,TRUE,300,132551,202286.4,9100,18451,60384
0.33,0.2,300,100,TRUE,300,130363,198086.84,9600,18193.78,59130.4
0.33,0.2,300,100,TRUE,300,126604,195134.15,9500,19780.68,58249
0.33,0.2,300,100,TRUE,300,135966,206195.18,10200,18877.99,61550.8
0.33,0.2,300,100,TRUE,300,130016,199089.83,8800,18443.98,59429.8
0.33,0.2,300,100,TRUE,300,128951,195585.06,9400,17650.9,58383.6
0.33,0.2,300,100,TRUE,300,126710,193268.2,8900,17766.47,57692
0.34,0.2,300,100,TRUE,300,124315,192771.48,9400,19441.16,58415.6
