"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 14:19:07:568 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"197","0.2","0.8","300","100","true","300","30","-4967","196407.2","5800","10766.92","196407.2"
"199","0.2","0.8","300","100","true","300","30","-4164","190758.40000000002","6400","10564.420000000002","190758.40000000002"
"198","0.2","0.8","300","100","true","300","39","-4375","196108","5700","10075.31","196108"
"200","0.2","0.8","300","100","true","300","35","-3922","184250.40000000002","6400","10321.639999999998","184250.40000000002"
"201","0.21000000000000002","0.8","300","100","true","300","30","-7838","198348.46000000002","6500","11827","200859.2"
"202","0.21000000000000002","0.8","300","100","true","300","26","-7876","213130.15000000002","6600","11778.38","215828"
"203","0.21000000000000002","0.8","300","100","true","300","28","-9637","198483.55000000002","6500","13624.81","200996"
"204","0.21000000000000002","0.8","300","100","true","300","42","-8471","195531.32","6100","12096.260000000002","198006.40000000002"
"205","0.21000000000000002","0.8","300","100","true","300","40","-4554","198468.54","6300","8341.88","200980.80000000002"
"206","0.21000000000000002","0.8","300","100","true","300","32","-11577","191754.33000000002","6400","15549.250000000004","194181.6"
"207","0.21000000000000002","0.8","300","100","true","300","35","-7748","191834.91","6600","11919.619999999999","194263.2"
"208","0.21000000000000002","0.8","300","100","true","300","34","-4006","191606.6","6200","7780.5","194032"
"209","0.21000000000000002","0.8","300","100","true","300","29","-11503","199924.51","6800","15772.809999999998","202455.2"
"210","0.21000000000000002","0.8","300","100","true","300","32","-7225","202988.92","6800","11455.879999999997","205558.40000000002"
"211","0.22","0.8","300","100","true","300","38","-13001","196712.88","6700","14656.990000000002","201756.80000000002"
"212","0.22","0.8","300","100","true","300","35","-12500","202111.26","6400","13718.050000000001","207293.6"
"213","0.22","0.8","300","100","true","300","33","-17043","210606.24000000002","6800","18442.840000000004","216006.40000000002"
"214","0.22","0.8","300","100","true","300","34","-10259","204469.2","6600","11615.970000000001","209712"
"215","0.22","0.8","300","100","true","300","35","-6168","193866.66","6700","7897.549999999996","198837.6"
"216","0.22","0.8","300","100","true","300","26","-9976","204621.30000000002","7400","12129.46","209868"
"217","0.22","0.8","300","100","true","300","32","-8035","202420.14","6600","9444.440000000004","207610.40000000002"
"218","0.22","0.8","300","100","true","300","25","-9974","198377.4","6400","11287.810000000005","203464"
"219","0.22","0.8","300","100","true","300","22","-10336","207215.58000000002","7200","12222.449999999999","212528.80000000002"
"220","0.22","0.8","300","100","true","300","30","-13323","197226.12","6300","14565.71","202283.2"
"221","0.23","0.8","300","100","true","300","34","-8905","211147.09","7200","7878.399999999998","219373.6"
"222","0.23","0.8","300","100","true","300","32","-10852","206092.81","7100","9922.060000000001","214122.40000000002"
"223","0.23","0.8","300","100","true","300","33","-13643","193074.42","6300","12420.279999999997","200596.80000000002"
"224","0.23","0.8","300","100","true","300","36","-16770","215911.85","7000","15358.349999999999","224324"
"225","0.23","0.8","300","100","true","300","28","-11728","199951.29","6800","10737.529999999999","207741.6"
"226","0.23","0.8","300","100","true","300","31","-13944","195890.31","7200","13511.750000000004","203522.40000000002"
"227","0.23","0.8","300","100","true","300","31","-8574","212633.96","6300","6589.259999999998","220918.40000000002"
"228","0.23","0.8","300","100","true","300","33","-21498","206978.31","7000","20433.579999999998","215042.40000000002"
"229","0.23","0.8","300","100","true","300","34","-9111","221616.01","7400","7876.130000000001","230250.40000000002"
"230","0.23","0.8","300","100","true","300","28","-18167","214703.72","7100","16902.139999999996","223068.80000000002"
"231","0.24000000000000002","0.8","300","100","true","300","27","-10558","192750.44","7200","7613.52","202895.2"
"232","0.24000000000000002","0.8","300","100","true","300","34","-17362","198936.08000000002","7300","14191.46","209406.40000000002"
"233","0.24000000000000002","0.8","300","100","true","300","36","-20961","187001.8","6900","18018.399999999998","196844"
"234","0.24000000000000002","0.8","300","100","true","300","30","-13088","207289.24","7100","9277.57","218199.2"
"235","0.24000000000000002","0.8","300","100","true","300","33","-17138","196095.96","7600","14417.630000000001","206416.80000000002"
"236","0.24000000000000002","0.8","300","100","true","300","27","-18441","207831.88","8000","15502.800000000003","218770.40000000002"
"238","0.24000000000000002","0.8","300","100","true","300","33","-15306","193869.92","6900","12001.99","204073.6"
"237","0.24000000000000002","0.8","300","100","true","300","35","-17507","202784.72","7200","14034.310000000001","213457.6"
"239","0.24000000000000002","0.8","300","100","true","300","25","-15842","195659.72","6800","12344.579999999998","205957.6"
"240","0.24000000000000002","0.8","300","100","true","300","31","-14197","216241.28","8100","10915.98","227622.40000000002"
"241","0.25","0.8","300","100","true","300","22","-25119","205796.25","7400","18799.280000000002","219516"
"242","0.25","0.8","300","100","true","300","29","-18105","203074.5","7400","11966.29","216612.80000000002"
"243","0.25","0.8","300","100","true","300","35","-17843","210395.25","7100","10916.25","224421.6"
"244","0.25","0.8","300","100","true","300","28","-17424","205800.75","7300","11003.529999999999","219520.80000000002"
"245","0.25","0.8","300","100","true","300","29","-21591","211395","7200","14698.18","225488"
"246","0.25","0.8","300","100","true","300","32","-21176","188997","7700","16275.98","201596.80000000002"
"247","0.25","0.8","300","100","true","300","32","-23542","200295.75","7300","17488.480000000003","213648.80000000002"
"248","0.25","0.8","300","100","true","300","34","-16992","194685.75","7700","11713.029999999999","207664.80000000002"
"249","0.25","0.8","300","100","true","300","27","-18736","180135","7200","13926.74","192144"
"250","0.25","0.8","300","100","true","300","28","-16093","217402.5","7800","9399.119999999995","231896"
