"BehaviorSpace results (NetLogo 4.1.2)"
"oriflame7.nlogo"
"max-profit1"
"05/03/2011 12:46:43:547 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","margin","manufacturing-cost","number-of-friendships","monthly-fee","random-join?","number-of-persons","[step]","network-profit","network-sale-revenue","network-fee-revenue","network-sponsor-cost","network-manufacturing-cost"
"201","0.21000000000000002","0.4","300","100","false","300","25","82330","188055.55000000002","5200","15707.27","95218"
"202","0.21000000000000002","0.4","300","100","false","300","28","87515","203490.57","5600","18542.15","103033.20000000001"
"203","0.21000000000000002","0.4","300","100","false","300","26","83668","196577.28","5500","18876.89","99532.8"
"204","0.21000000000000002","0.4","300","100","false","300","32","90047","210793.33000000002","5400","19415.6","106730.8"
"205","0.21000000000000002","0.4","300","100","false","300","25","85299","193328.80000000002","5600","15742.14","97888"
"207","0.21000000000000002","0.4","300","100","false","300","32","95304","203605.12","5800","11009.82","103091.20000000001"
"206","0.21000000000000002","0.4","300","100","false","300","29","85856","192504.04","5400","14577.69","97470.40000000001"
"208","0.21000000000000002","0.4","300","100","false","300","29","80979","189029.62","5400","17739.770000000004","95711.20000000001"
"209","0.21000000000000002","0.4","300","100","false","300","25","90359","208773.30000000002","5300","18006","105708"
"210","0.21000000000000002","0.4","300","100","false","300","26","86971","192838.21000000002","5500","13727.81","97639.6"
"212","0.22","0.4","300","100","false","300","29","84552","190090.68","5700","13756.55","97482.40000000001"
"211","0.22","0.4","300","100","false","300","27","80130","187741.32","5300","16633.489999999998","96277.6"
"213","0.22","0.4","300","100","false","300","22","82921","191459.58000000002","6000","16353.77","98184.40000000001"
"214","0.22","0.4","300","100","false","300","22","73372","176391.54","5400","17962.420000000002","90457.20000000001"
"215","0.22","0.4","300","100","false","300","25","86198","198058.38","6000","16292.160000000002","101568.40000000001"
"216","0.22","0.4","300","100","false","300","26","89579","210088.32","6100","18871.599999999995","107737.6"
"217","0.22","0.4","300","100","false","300","25","79285","188902.74000000002","5700","18444.99","96873.20000000001"
"219","0.22","0.4","300","100","false","300","24","93200","205799.88","6500","13561.39","105538.40000000001"
"218","0.22","0.4","300","100","false","300","31","89874","206898.9","6000","16922.67","106102"
"220","0.22","0.4","300","100","false","300","26","81650","186231.24000000002","5500","14577.860000000002","95503.20000000001"
"221","0.23","0.4","300","100","false","300","27","79904","192396.05000000002","6300","18845.91","99946"
"222","0.23","0.4","300","100","false","300","33","84757","199865.82","6300","17582.04","103826.40000000001"
"223","0.23","0.4","300","100","false","300","31","85864","200008.27000000002","5600","15843.510000000002","103900.40000000001"
